Website,Link,,Applicable Debit Cards,Offer,Image
bookmyshow,https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224,,All Visa Signature Debit Card,Offer valid on minimum booking of 2 movie tickets,https://in.bmscdn.com/offers/tnclogo/vsbogo1111.jpg?13122024122815
bookmyshow,https://in.bookmyshow.com/offers/dbs-treasures-offer/DBSDC0124,,All DBS Bank Platinum and Infinite Debit Card,Get discounts on all categories with your DBS Debit cards,https://in.bmscdn.com/offers/offerlisting/dbs0514.jpg?31072024213636
bookmyshow,https://in.bookmyshow.com/offers/rupay-sbi-debit-card-offer/SBIDC0823,,SBI Wealth RuPay Select Debit Card,Get Upto INR500 Off using RuPay SBI Debit Card,https://in.bmscdn.com/offers/offerlisting/rupay-sbi-debit-card-offer-sbidc0823.jpg
bookmyshow,https://in.bookmyshow.com/offers/union-bank-elite-metal-card-offer/RUPAYUN241,,Union Bank Elite MetalDebit Card,Get Upto INR500 Off using Union Bank Elite Metal Card*,https://in.bmscdn.com/offers/offerlisting/union-bank-elite-metal-card-offer.jpg
bookmyshow,https://in.bookmyshow.com/offers/union-bank-of-india-rupay-debit-card-offer/RUPAYUN231,,RuPay Union Bank of India HNI Emperio Debit Card,Get Upto INR500 Off using Union Bank of India RuPay Debit Card,https://in.bmscdn.com/offers/offerlisting/union-bank-of-india-rupay-debit-card-offer.jpg
bookmyshow,https://in.bookmyshow.com/offers/union-bank-of-india-rupay-debit-card-offer/RUPAYUN231,,Union Bank of India Women Empower Debit Card,Get Upto INR500 Off using Union Bank of India RuPay Debit Card,https://in.bmscdn.com/offers/offerlisting/union-bank-of-india-rupay-debit-card-offer.jpg
bookmyshow,https://in.bookmyshow.com/offers/yes-private-debit-card-offer/YESPVT124,,Yes Private Debit Card,YES Private Debit Card Offer,https://in.bmscdn.com/offers/offerlisting/yes-private-debit-card-offer.jpg
bookmyshow,https://in.bookmyshow.com/offers/dcb-bank-debit-card-offer/DCBDC0624,,DCB RuPay Platinum Debit Card,DCB bank offers,https://www.dcbbank.com/api/dcb/assets/2024-09/rupay_platinum_2.png
bookmyshow,https://in.bookmyshow.com/offers/dcb-bank-debit-card-offer/DCBDC0624,,DCB Visa Platinum Debit Card,DCB bank offers,https://www.dcbbank.com/api/dcb/assets/2024-09/rupay_platinum_2.png
bookmyshow,https://in.bookmyshow.com/offers/dcb-bank-debit-card-offer/DCBDC0624,,DCB RuPay Platinum Debit Card,DCB bank offers,https://www.dcbbank.com/api/dcb/assets/2024-09/rupay_platinum_2.png
bookmyshow,https://in.bookmyshow.com/offers/dcb-bank-debit-card-offer/DCBDC0624,,DCB Visa Classic Debit Card,DCB bank offers,https://www.dcbbank.com/api/dcb/assets/2024-09/rupay_platinum_2.png
bookmyshow,"https://in.bookmyshow.com/offers/indusind-bank-grande-world,-signature-grande,-pioneer-&-pioneer-private-debit-card-offer/VISINP0424",,"IndusInd Grande World, Signature Grande, Pioneer & Pioneer Private Debit Card","Buy 1 Ticket and Get 1 free up to INR 1000* with IndusInd Grande World, Signature Grande, Pioneer &amp; Pioneer Private Debit Card",https://in.bmscdn.com/offers/offerlisting/indusind-bank-grande-world
bookmyshow,https://in.bookmyshow.com/offers/indusind-bank-solitaire-debit-card-offer/VISIN1023,, IndusInd Bank Solitaire Debit Card,Buy One ticket &amp; Get One Free upto INR 1000 on Movies/Non-Movies with IndusInd Bank Solitaire Debit Card,https://in.bmscdn.com/offers/offerlisting/indusind-bank-solitaire-debit-card-offer.jpg
