Image,Title,Validity,Offers,Credit Card
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/12858_gwR2Ybnu.jpg,HSBC Bank -  Credit Card 10% Off on Movie Ticket,"Thu, Mar 20, 2025","The offer is valid on the PVR website, mobile app of PVR Cinemas.The offer is only applicable to the purchase of movie ticketsThe HSBC Bank Credit Card offer is valid until 20th March 2025.A convenience fee is levied on each ticket, as applicable.Any additional amount must be borne by the customer.To avail the offer, the user must use HSBC Credit Card or net banking to complete the payment.The offer is not applicable on purchase of Movie Tickets through any other aggregator platform. The tickets must be purchased through PVR web/app/box office.In case of transaction failure or an unsuccessful transaction via offer, the customer is requested to wait for 20 minutes before attempting to avail the offer again.""The offer is applicable only at PVR SAKET SELECT CITY WALK,PVR AMBIENCE MALL-GURGAON ,PVR - MOHALI,PVR SUPERPLEX LOGIX NOIDA,PVR FORUM MALL ,PVR ORION MALL ,PVR VR MALL WHITEFIELD,PVR VEGA CITY,PVR LULU MALL - KOCHI,PVR PHOENIX MARKET CITY - KURLA,PVR PUNE - MARKET CITYThis offer cannot be clubbed with any other existing offers or promotions available on PVR digital platforms.Movie tickets are subject to availability at the respective PVR Cinema.Once purchased, movie tickets cannot be cancelled, refunded, or exchanged in any form.Post receiving booking confirmation via email/SMS from PVR. The customer must present the ticket QR code to the cinema representative at the box office.PVR Ltd. & HSBC Bank reserve the right to disqualify any user(s) from the benefits of the program in case of fraudulent activity, with prosecution carried out as per the purpose of availing the benefits.PVR Ltd. & HSBC Bank reserve the right to modify/change any or all terms applicable to the program without assigning any reasons or prior intimation.PVR Ltd. & HSBC Bank also reserve the right to discontinue the program without assigning any reasons or prior intimation.PVR Ltd.'s general rules & regulations are applicable.Additionally, this offer on the website is subject to www.pvrcinemas.com and HSBC Bank General Terms of Use. Refer to www.pvrcinemas.com Terms & Conditions on the homepage.Users are required to provide personal information and card details online for tickets purchased on www.pvrcinemas.com.Send queries to feedback@pvrcinemas.com if the discount has not been processed.In case of disputes, PVR Ltd.'s decision will be final.",HSBC Cashback Credit Card
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/12858_gwR2Ybnu.jpg,HSBC Bank -  Credit Card 10% Off on Movie Ticket,"Thu, Mar 20, 2025","The offer is valid on the PVR website, mobile app of PVR Cinemas.The offer is only applicable to the purchase of movie ticketsThe HSBC Bank Credit Card offer is valid until 20th March 2025.A convenience fee is levied on each ticket, as applicable.Any additional amount must be borne by the customer.To avail the offer, the user must use HSBC Credit Card or net banking to complete the payment.The offer is not applicable on purchase of Movie Tickets through any other aggregator platform. The tickets must be purchased through PVR web/app/box office.In case of transaction failure or an unsuccessful transaction via offer, the customer is requested to wait for 20 minutes before attempting to avail the offer again.""The offer is applicable only at PVR SAKET SELECT CITY WALK,PVR AMBIENCE MALL-GURGAON ,PVR - MOHALI,PVR SUPERPLEX LOGIX NOIDA,PVR FORUM MALL ,PVR ORION MALL ,PVR VR MALL WHITEFIELD,PVR VEGA CITY,PVR LULU MALL - KOCHI,PVR PHOENIX MARKET CITY - KURLA,PVR PUNE - MARKET CITYThis offer cannot be clubbed with any other existing offers or promotions available on PVR digital platforms.Movie tickets are subject to availability at the respective PVR Cinema.Once purchased, movie tickets cannot be cancelled, refunded, or exchanged in any form.Post receiving booking confirmation via email/SMS from PVR. The customer must present the ticket QR code to the cinema representative at the box office.PVR Ltd. & HSBC Bank reserve the right to disqualify any user(s) from the benefits of the program in case of fraudulent activity, with prosecution carried out as per the purpose of availing the benefits.PVR Ltd. & HSBC Bank reserve the right to modify/change any or all terms applicable to the program without assigning any reasons or prior intimation.PVR Ltd. & HSBC Bank also reserve the right to discontinue the program without assigning any reasons or prior intimation.PVR Ltd.'s general rules & regulations are applicable.Additionally, this offer on the website is subject to www.pvrcinemas.com and HSBC Bank General Terms of Use. Refer to www.pvrcinemas.com Terms & Conditions on the homepage.Users are required to provide personal information and card details online for tickets purchased on www.pvrcinemas.com.Send queries to feedback@pvrcinemas.com if the discount has not been processed.In case of disputes, PVR Ltd.'s decision will be final.",HSBC Visa Platinum Credit Card
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/12858_gwR2Ybnu.jpg,HSBC Bank -  Credit Card 10% Off on Movie Ticket,"Thu, Mar 20, 2025","The offer is valid on the PVR website, mobile app of PVR Cinemas.The offer is only applicable to the purchase of movie ticketsThe HSBC Bank Credit Card offer is valid until 20th March 2025.A convenience fee is levied on each ticket, as applicable.Any additional amount must be borne by the customer.To avail the offer, the user must use HSBC Credit Card or net banking to complete the payment.The offer is not applicable on purchase of Movie Tickets through any other aggregator platform. The tickets must be purchased through PVR web/app/box office.In case of transaction failure or an unsuccessful transaction via offer, the customer is requested to wait for 20 minutes before attempting to avail the offer again.""The offer is applicable only at PVR SAKET SELECT CITY WALK,PVR AMBIENCE MALL-GURGAON ,PVR - MOHALI,PVR SUPERPLEX LOGIX NOIDA,PVR FORUM MALL ,PVR ORION MALL ,PVR VR MALL WHITEFIELD,PVR VEGA CITY,PVR LULU MALL - KOCHI,PVR PHOENIX MARKET CITY - KURLA,PVR PUNE - MARKET CITYThis offer cannot be clubbed with any other existing offers or promotions available on PVR digital platforms.Movie tickets are subject to availability at the respective PVR Cinema.Once purchased, movie tickets cannot be cancelled, refunded, or exchanged in any form.Post receiving booking confirmation via email/SMS from PVR. The customer must present the ticket QR code to the cinema representative at the box office.PVR Ltd. & HSBC Bank reserve the right to disqualify any user(s) from the benefits of the program in case of fraudulent activity, with prosecution carried out as per the purpose of availing the benefits.PVR Ltd. & HSBC Bank reserve the right to modify/change any or all terms applicable to the program without assigning any reasons or prior intimation.PVR Ltd. & HSBC Bank also reserve the right to discontinue the program without assigning any reasons or prior intimation.PVR Ltd.'s general rules & regulations are applicable.Additionally, this offer on the website is subject to www.pvrcinemas.com and HSBC Bank General Terms of Use. Refer to www.pvrcinemas.com Terms & Conditions on the homepage.Users are required to provide personal information and card details online for tickets purchased on www.pvrcinemas.com.Send queries to feedback@pvrcinemas.com if the discount has not been processed.In case of disputes, PVR Ltd.'s decision will be final.",HSBC Smart Value Credit Card
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/12858_gwR2Ybnu.jpg,HSBC Bank -  Credit Card 10% Off on Movie Ticket,"Thu, Mar 20, 2025","The offer is valid on the PVR website, mobile app of PVR Cinemas.The offer is only applicable to the purchase of movie ticketsThe HSBC Bank Credit Card offer is valid until 20th March 2025.A convenience fee is levied on each ticket, as applicable.Any additional amount must be borne by the customer.To avail the offer, the user must use HSBC Credit Card or net banking to complete the payment.The offer is not applicable on purchase of Movie Tickets through any other aggregator platform. The tickets must be purchased through PVR web/app/box office.In case of transaction failure or an unsuccessful transaction via offer, the customer is requested to wait for 20 minutes before attempting to avail the offer again.""The offer is applicable only at PVR SAKET SELECT CITY WALK,PVR AMBIENCE MALL-GURGAON ,PVR - MOHALI,PVR SUPERPLEX LOGIX NOIDA,PVR FORUM MALL ,PVR ORION MALL ,PVR VR MALL WHITEFIELD,PVR VEGA CITY,PVR LULU MALL - KOCHI,PVR PHOENIX MARKET CITY - KURLA,PVR PUNE - MARKET CITYThis offer cannot be clubbed with any other existing offers or promotions available on PVR digital platforms.Movie tickets are subject to availability at the respective PVR Cinema.Once purchased, movie tickets cannot be cancelled, refunded, or exchanged in any form.Post receiving booking confirmation via email/SMS from PVR. The customer must present the ticket QR code to the cinema representative at the box office.PVR Ltd. & HSBC Bank reserve the right to disqualify any user(s) from the benefits of the program in case of fraudulent activity, with prosecution carried out as per the purpose of availing the benefits.PVR Ltd. & HSBC Bank reserve the right to modify/change any or all terms applicable to the program without assigning any reasons or prior intimation.PVR Ltd. & HSBC Bank also reserve the right to discontinue the program without assigning any reasons or prior intimation.PVR Ltd.'s general rules & regulations are applicable.Additionally, this offer on the website is subject to www.pvrcinemas.com and HSBC Bank General Terms of Use. Refer to www.pvrcinemas.com Terms & Conditions on the homepage.Users are required to provide personal information and card details online for tickets purchased on www.pvrcinemas.com.Send queries to feedback@pvrcinemas.com if the discount has not been processed.In case of disputes, PVR Ltd.'s decision will be final.",HSBC Premier Mastercard Credit Card
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/13384_8xGqLsei.jpg,Kotak Bank White Reserve Card - Buy 1 Get 1 On Mov,"Sat, Nov 30, 2024","This offer is valid of KOTAK WHITE RESERVE CARD ONLY1+1 BOGO offer Buy 1 ticket and get 1 free up-to INR 1000 AT select PVR INOX LUXE OR INSIGNIA Only. This offer can be used twice per month by a KOTAK WHITE RESERVE CARD HOLDER? A minimum of 2 tickets must be purchased to avail of the ticket discount. Customers can purchase any number of tickets and will receive a discount on 1 ticket in a transaction. For example, if a customer buys 2 tickets, they will pay for 1 ticket and get 1 free ticket, if they buy 3 tickets, they will pay for 2 tickets and get 1 free ticketIf the second ticket(s) value exceeds Rs.1000, the bearer will need to pay the difference amount.If the value of the ticket(s) is less than Rs.1000, the balance amount will not be refunded in cash or kind.This offer is redeemable only on online platforms at website & app PVR & INOX.Tickets are subject to availability.Can be redeemed for booking within the validity period only.Cannot be exchanged for cash in whole or in part.The offer is not applicable on convenience fees, GST and 3D Charges, if anyCannot be combined with any other offers/schemes/promotions/block bookings, etc.PVR INOX has the right to amend or discontinue the offer without any prior notice.? PVR INOX reserves the right to withdraw or modify this offer at any time without prior notice. In case of any dispute, PVRs decision will be final.? Abuse of offer If at any point, PVR INOX verifies that the usage of the offer code violates the  or is abusive to the spirit of the offer, PVR INOX reserve the sole right to suspend the user from the offer and deny any future offers on their platforms.Visit www.pvrcinemas.com / PVR App OR www.inoxmovies.com / INOX AppSelect your city, cinema, movie, show date, show time & seats of your choice at the shortlisted LUXE or INSIGNIAroceed to the Order Summary Page and under the offer section select "" Kotak Buy 1 get 1 offer on Luxe and Insignia tickets "" (is the process same for the PVR App, this is known as Bank offers section)Enter your card details and click on ""Apply"" to avail the offer.Kindly share your consent by checking ""I accept the offer Terms & Conditions and PVR booking policy.""Pop-up with a ?Congratulations! You have successfully availed your offer? confirmation message will appear",KOTAK WHITE RESERVE CARD
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/11633_m81G1UiP.jpg,Federal Bank Celesta Credit Card 1+1,"Wed, Dec 31, 2025","Buy One Get One Ticket Free on Movie Tickets across Federal Bank Celesta Credit Card.Minimum two movie ticket needs to be purchased in a transaction to avail the offer.Maximum one discounted transactions can be availed per card per month.Discounted amount cannot exceed INR 100/- per transaction for Federal Bank Celesta Credit Card. Any additional amount has to be borne by the customer.Discount is applicable only on ticket price. Convenience fee is levied on each ticket (as applicable).User has to use valid Federal Bank Celesta Credit Card to avail the offer.Please send your queries to contact@inoxmovies.com if discount has not been processed.Users will have to buy movie tickets through INOX Digital Platforms (www.inoxmovies.com, INOX Mobile App or INOX Mobile Website) to avail offer on tickets purchased.Offer VALID at INOX Box Office (EXCEPT for INOX Raj Imperial Surat, Siliguri Orbit, Siliguri City Center, Panchkula NH22, Raipur City Centre, Bhiwadi Genesis Mall, Kolkata Hind, Jorhat ABS Mall, Srinagar Shivpora , Vellore Salvem Square, Atria Mall Worli, R Mall Thane, Gurgaon Ardee Mall,Delhi Rcube, Delhi Epicuria and Mumbai Metro.Offer is valid only for customers coming directly on INOX Digital Platforms (www.inoxmovies.com, INOX Mobile App or INOX Mobile Website) and not via any other website/app.The current purchase process at INOX Digital Platforms (www.inoxmovies.com, INOX Mobile App or INOX Mobile Website) will remain unchanged till the time where the user opts in for Buy One Get One Ticket Free on Movie Tickets. After this stage the website will recognize the user and offer related to the same and reduce the bill amount and inform the transacting user accordingly.In case you have applied for the Buy One Get One Ticket Free on Movie Tickets offer, but the transaction does not go through for some reason, kindly wait for 20 minutes before re-trying to avail the discount again.Buy One Get One Ticket Free on Movie Tickets offer is applicable on all INOX cinemas in India for which tickets can be booked through INOX Digital Platforms (www.inoxmovies.com, INOX Mobile App or INOX Mobile Website). However said offer is not applicable for INOX Raj Imperial,Surat , Siliguri Orbit, Siliguri City Center, Panchkula NH22, Raipur City Centre, Bhiwadi Genesis Mall, Kolkata Hind, Jorhat ABS Mall, Srinagar Shivpora and Vellore Salvem Square.This offer cannot be combined with any offer/discounts/promotions available on INOX Digital Platforms (www.inoxmovies.com, INOX Mobile App or INOX Mobile Website)Movie tickets are subject to availability at the respective INOX cinemaTickets once bought online, shall be considered sold and cannot be cancelled, refunded or exchanged in any form whatsoever.Once the booking is completed, the confirmation e-mail/SMS received from INOX Digital Platforms (www.inoxmovies.com, INOX Mobile App or INOX Mobile Website) needs to be exchanged with cinema representative at Box Office or pickup from kiosk.Users shall not be entitled to compensation/benefits in any form whatsoever in lieu of the offer being availed.INOX Leisure Ltd. & Federal Bank reserves the right to disqualify any User(s) from the benefits of the Program. If case of any fraudulent activity, prosecution will be carried according to the purpose of availing the benefits under the Program.INOX Leisure Ltd. & Federal Bank reserves the right to modify/change all or any of the terms applicable to the Program without assigning any reasons or without any prior intimation whatsoever.INOX Leisure Ltd. & Federal Bank also reserves the right to discontinue the Program without assigning any reasons or without any prior intimation whatsoever.INOX Leisure Ltd. general rules & regulations are applicable.Federal Bank User(s) are not bound in any way to participate in this Program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".",Federal Bank Celesta Credit Card
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/12745_apAU3lLH.jpg,Kotak PVR INOX Credit Card 20% Off on F & B,"Mon, Mar 31, 2025","The discount amount cannot exceed 20% per Transaction. Any additional amount has to be borne by the customer.Discount is applicable only on FNB.Offer is applicable only on PVR Kotak co-branded credit cards, these are PVR INOX Kotak Credit Card, PVR Gold Kotak Credit Card and PVR Platinum Kotak Credit Card.Please send your queries to contact@inoxmovies.com if discount has not been processed.Offer is valid on PVR App/website(pvrcinemas.com), INOX App/website(inoxmovies.com) and at PVR INOX cinemas, excluding the following ? PVR Management Properties - PVR Opulent,PVR Keshar Gwalior M.P. INOX Management Properties ? INOX AMBUJA CITY CENTRE - RAIPUR,INOX RAJ IMPERIAL ? SURAT,INOX NH-22 MALL ? HARYANA,INOX SRINAGAR ? J&K,INOX GENESIS MALL ? BHIWADI,INOX SELVAM SQUARE ? VELLORE,INOX HIND ? KOLKATA,INOX ORBIT MALL, VEGA CIRCLE SEVOKE ROAD ? SILIGURIThe current purchase process at PVR INOX will remain unchanged till the time where the user opts in for ?Kotak PVR INOX Credit Card 20% Off on F & B?. After this stage the website will recognize the user and Offer related to the same and reduce the bill amount and inform the transacting user accordingly.Detailed steps for usage ?Log on to the PVR App or Website.Choose your preferred cinema, movie, show, and seats as well as FnB choices, if any, to proceed to the ?Checkout Page? to view the booking summaryPayment Page ? On the payment page, click on ?Bank Offers?Bank Offers section ? Click on ?PVR INOX Kotak Credit Card?PVR INOX Kotak Credit Card ? Enter your PVR INOX Kotak Credit Card details for verificationOnce verified that the card is a PVR INOX Kotak Credit Card, the discount is applied and the discounted booking amount is shownPay the discounted booking amount using your PVR INOX Kotak Credit Card to complete the transactionTaxes as applicable and levied for the booking must be paid by the Cardholder during the bookingIn case you have applied for the ?Kotak PVR INOX Credit Card 20% Off on F & B? offer, but the transaction doesn't go through for some reason, kindly wait for 20 minutes before re-trying to avail the discount again.In the event discount is not applied during the time of sale due to technical failures, please share the invoice of the transaction to contact@inoxmovies.com incase of point-of-sale transactions and screenshots of the error incase of App/Website transactions.?Kotak PVR INOX Credit Card 20% Off on F & B? offer is applicable on all PVR INOX cinemas in India for which Food can be booked through www.pvrcinemas.com and www.inoxmovies.com.This offer cannot be combined with any offer / discounts / promotions available on PVR INOX websiteFood once bought online, shall be considered sold and cannot be cancelled, refunded or exchanged in any form whatsoever.Once the booking is completed, the confirmation e-mail / SMS received from PVR INOX needs to be exchanged with cinema representative at Box Office or pick up from kiosk.Users shall not be entitled to compensation / benefits in any form whatsoever in lieu of the offer being availed.PVR INOX Ltd. & Kotak Bank reserves the right to disqualify any User(s) from the benefits of the Program. If case of any fraudulent activity, prosecution will be carried according to the purpose of availing the benefits under the Program.PVR INOX Ltd. & Kotak Bank reserves the right to modify/ change all or any of the terms applicable to the Program without assigning any reasons or without any prior intimation whatsoever.PVR INOX Ltd. & Kotak Bank also reserves the right to discontinue the Program without assigning any reasons or without any prior intimation whatsoever.PVR INOX Ltd. general rules & regulations are applicable.Kotak Bank User(s) are not bound in any way to participate in this Program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".PVR INOX Ltd. & Kotak Bank reserves the right at any time without prior notice to add, alter, modify, all or any of these terms and conditions or replace, wholly or in part, this Program by any other Program, whether similar to this Program or not or to withdraw it altogether.In addition to the above, this offer on the website is also subject to www.inoxmovies.com and Kotak Bank General Terms of Use. Kindly refer to PVR INOX Website Terms & Conditions on the homepage.User shall be required to give personal information and card details online for the Food purchased on PVR INOX WebsiiteIn case of any disputes, PVR INOX Ltd. decision will be final.",PVR INOX Kotak Credit Card
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/12745_apAU3lLH.jpg,Kotak PVR INOX Credit Card 20% Off on F & B,"Mon, Mar 31, 2025","The discount amount cannot exceed 20% per Transaction. Any additional amount has to be borne by the customer.Discount is applicable only on FNB.Offer is applicable only on PVR Kotak co-branded credit cards, these are PVR INOX Kotak Credit Card, PVR Gold Kotak Credit Card and PVR Platinum Kotak Credit Card.Please send your queries to contact@inoxmovies.com if discount has not been processed.Offer is valid on PVR App/website(pvrcinemas.com), INOX App/website(inoxmovies.com) and at PVR INOX cinemas, excluding the following ? PVR Management Properties - PVR Opulent,PVR Keshar Gwalior M.P. INOX Management Properties ? INOX AMBUJA CITY CENTRE - RAIPUR,INOX RAJ IMPERIAL ? SURAT,INOX NH-22 MALL ? HARYANA,INOX SRINAGAR ? J&K,INOX GENESIS MALL ? BHIWADI,INOX SELVAM SQUARE ? VELLORE,INOX HIND ? KOLKATA,INOX ORBIT MALL, VEGA CIRCLE SEVOKE ROAD ? SILIGURIThe current purchase process at PVR INOX will remain unchanged till the time where the user opts in for ?Kotak PVR INOX Credit Card 20% Off on F & B?. After this stage the website will recognize the user and Offer related to the same and reduce the bill amount and inform the transacting user accordingly.Detailed steps for usage ?Log on to the PVR App or Website.Choose your preferred cinema, movie, show, and seats as well as FnB choices, if any, to proceed to the ?Checkout Page? to view the booking summaryPayment Page ? On the payment page, click on ?Bank Offers?Bank Offers section ? Click on ?PVR INOX Kotak Credit Card?PVR INOX Kotak Credit Card ? Enter your PVR INOX Kotak Credit Card details for verificationOnce verified that the card is a PVR INOX Kotak Credit Card, the discount is applied and the discounted booking amount is shownPay the discounted booking amount using your PVR INOX Kotak Credit Card to complete the transactionTaxes as applicable and levied for the booking must be paid by the Cardholder during the bookingIn case you have applied for the ?Kotak PVR INOX Credit Card 20% Off on F & B? offer, but the transaction doesn't go through for some reason, kindly wait for 20 minutes before re-trying to avail the discount again.In the event discount is not applied during the time of sale due to technical failures, please share the invoice of the transaction to contact@inoxmovies.com incase of point-of-sale transactions and screenshots of the error incase of App/Website transactions.?Kotak PVR INOX Credit Card 20% Off on F & B? offer is applicable on all PVR INOX cinemas in India for which Food can be booked through www.pvrcinemas.com and www.inoxmovies.com.This offer cannot be combined with any offer / discounts / promotions available on PVR INOX websiteFood once bought online, shall be considered sold and cannot be cancelled, refunded or exchanged in any form whatsoever.Once the booking is completed, the confirmation e-mail / SMS received from PVR INOX needs to be exchanged with cinema representative at Box Office or pick up from kiosk.Users shall not be entitled to compensation / benefits in any form whatsoever in lieu of the offer being availed.PVR INOX Ltd. & Kotak Bank reserves the right to disqualify any User(s) from the benefits of the Program. If case of any fraudulent activity, prosecution will be carried according to the purpose of availing the benefits under the Program.PVR INOX Ltd. & Kotak Bank reserves the right to modify/ change all or any of the terms applicable to the Program without assigning any reasons or without any prior intimation whatsoever.PVR INOX Ltd. & Kotak Bank also reserves the right to discontinue the Program without assigning any reasons or without any prior intimation whatsoever.PVR INOX Ltd. general rules & regulations are applicable.Kotak Bank User(s) are not bound in any way to participate in this Program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".PVR INOX Ltd. & Kotak Bank reserves the right at any time without prior notice to add, alter, modify, all or any of these terms and conditions or replace, wholly or in part, this Program by any other Program, whether similar to this Program or not or to withdraw it altogether.In addition to the above, this offer on the website is also subject to www.inoxmovies.com and Kotak Bank General Terms of Use. Kindly refer to PVR INOX Website Terms & Conditions on the homepage.User shall be required to give personal information and card details online for the Food purchased on PVR INOX WebsiiteIn case of any disputes, PVR INOX Ltd. decision will be final.",PVR Gold Kotak Credit Card
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/12745_apAU3lLH.jpg,Kotak PVR INOX Credit Card 20% Off on F & B,"Mon, Mar 31, 2025","The discount amount cannot exceed 20% per Transaction. Any additional amount has to be borne by the customer.Discount is applicable only on FNB.Offer is applicable only on PVR Kotak co-branded credit cards, these are PVR INOX Kotak Credit Card, PVR Gold Kotak Credit Card and PVR Platinum Kotak Credit Card.Please send your queries to contact@inoxmovies.com if discount has not been processed.Offer is valid on PVR App/website(pvrcinemas.com), INOX App/website(inoxmovies.com) and at PVR INOX cinemas, excluding the following ? PVR Management Properties - PVR Opulent,PVR Keshar Gwalior M.P. INOX Management Properties ? INOX AMBUJA CITY CENTRE - RAIPUR,INOX RAJ IMPERIAL ? SURAT,INOX NH-22 MALL ? HARYANA,INOX SRINAGAR ? J&K,INOX GENESIS MALL ? BHIWADI,INOX SELVAM SQUARE ? VELLORE,INOX HIND ? KOLKATA,INOX ORBIT MALL, VEGA CIRCLE SEVOKE ROAD ? SILIGURIThe current purchase process at PVR INOX will remain unchanged till the time where the user opts in for ?Kotak PVR INOX Credit Card 20% Off on F & B?. After this stage the website will recognize the user and Offer related to the same and reduce the bill amount and inform the transacting user accordingly.Detailed steps for usage ?Log on to the PVR App or Website.Choose your preferred cinema, movie, show, and seats as well as FnB choices, if any, to proceed to the ?Checkout Page? to view the booking summaryPayment Page ? On the payment page, click on ?Bank Offers?Bank Offers section ? Click on ?PVR INOX Kotak Credit Card?PVR INOX Kotak Credit Card ? Enter your PVR INOX Kotak Credit Card details for verificationOnce verified that the card is a PVR INOX Kotak Credit Card, the discount is applied and the discounted booking amount is shownPay the discounted booking amount using your PVR INOX Kotak Credit Card to complete the transactionTaxes as applicable and levied for the booking must be paid by the Cardholder during the bookingIn case you have applied for the ?Kotak PVR INOX Credit Card 20% Off on F & B? offer, but the transaction doesn't go through for some reason, kindly wait for 20 minutes before re-trying to avail the discount again.In the event discount is not applied during the time of sale due to technical failures, please share the invoice of the transaction to contact@inoxmovies.com incase of point-of-sale transactions and screenshots of the error incase of App/Website transactions.?Kotak PVR INOX Credit Card 20% Off on F & B? offer is applicable on all PVR INOX cinemas in India for which Food can be booked through www.pvrcinemas.com and www.inoxmovies.com.This offer cannot be combined with any offer / discounts / promotions available on PVR INOX websiteFood once bought online, shall be considered sold and cannot be cancelled, refunded or exchanged in any form whatsoever.Once the booking is completed, the confirmation e-mail / SMS received from PVR INOX needs to be exchanged with cinema representative at Box Office or pick up from kiosk.Users shall not be entitled to compensation / benefits in any form whatsoever in lieu of the offer being availed.PVR INOX Ltd. & Kotak Bank reserves the right to disqualify any User(s) from the benefits of the Program. If case of any fraudulent activity, prosecution will be carried according to the purpose of availing the benefits under the Program.PVR INOX Ltd. & Kotak Bank reserves the right to modify/ change all or any of the terms applicable to the Program without assigning any reasons or without any prior intimation whatsoever.PVR INOX Ltd. & Kotak Bank also reserves the right to discontinue the Program without assigning any reasons or without any prior intimation whatsoever.PVR INOX Ltd. general rules & regulations are applicable.Kotak Bank User(s) are not bound in any way to participate in this Program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".PVR INOX Ltd. & Kotak Bank reserves the right at any time without prior notice to add, alter, modify, all or any of these terms and conditions or replace, wholly or in part, this Program by any other Program, whether similar to this Program or not or to withdraw it altogether.In addition to the above, this offer on the website is also subject to www.inoxmovies.com and Kotak Bank General Terms of Use. Kindly refer to PVR INOX Website Terms & Conditions on the homepage.User shall be required to give personal information and card details online for the Food purchased on PVR INOX WebsiiteIn case of any disputes, PVR INOX Ltd. decision will be final.",PVR Platinum Kotak Credit Card.
https://originserver-static1-uat.pvrcinemas.com/pvrcms/movie_v/12939_O94yLomw.jpg,Kotak Bank 25% off on all LUX and INSIGNIA Tickets,"Sat, Nov 30, 2024","The discount amount cannot exceed 25% per Transaction upto a maximum discount of INR500. Any additional amount has to be borne by the customer.Discount is applicable only on ticket price. Convenience fee is levied on each ticket (as applicable).User has to use Kotak Credit Card to avail the offer.Please send your queries to contact@inoxmovies.com if discount has not been processed.Users will have to buy movie tickets through on www.pvrcinemas.com & www.inoxmovies.com to avail offer.Offer is valid only for customers coming directly on on www.pvrcinemas.com & www.inoxmovies.com and not via any other website.The current purchase process at www.inoxmovies.com will remain unchanged till the time where the user opts in for ?Kotak Bank 25% off on all LUX and INSIGNIA discount upto Rs. 500 on Luxe and Insignia TICKETS?. After this stage the website will recognize the user and Offer related to the same and reduce the bill amount and inform the transacting user accordingly.In case you have applied for the ?Kotak Bank 25% off on all LUX and INSIGNIA Tickets"" discount upto Rs. 500 on Luxe and Insignia TICKETS? offer, but the transaction doesn't go through for some reason, kindly wait for 20 minutes before re-trying to avail the discount again.?Kotak PVR INOX 25% discount upto Rs. 500 on Luxe and Insignia TICKETS? offer is applicable on select Luxe & Insignia LocationsThis offer cannot be combined with any offer / discounts / promotions available on www.pvrcinemas.com & www.inoxmovies.com movie tickets are subject to availability at the respective PVR INOX cinema.Tickets once bought online, shall be considered sold and cannot be cancelled, refunded or exchanged in any form whatsoever.Users shall not be entitled to compensation / benefits in any form whatsoever in lieu of the offer being availed.PVR INOX Ltd. & Kotak Bank reserves the right to disqualify any User(s) from the benefits of the Program. If case of any fraudulent activity, prosecution will be carried according to the purpose of availing the benefits under the Program.PVR INOX Ltd. & Kotak Bank reserves the right to modify/ change all or any of the terms applicable to the Program without assigning any reasons or without any prior intimation whatsoever.PVR INOX Ltd. & Kotak Bank also reserves the right to discontinue the Program without assigning any reasons or without any prior intimation whatsoever.PVR INOX Ltd. general rules & regulations are applicable.Kotak Bank User(s) are not bound in any way to participate in this Program. Any such participation is voluntary and the same is being made purely on a ""best effort basis"".PVRINOX Ltd. & Kotak Bank reserves the right at any time without prior notice to add, alter, modify, all or any of these  or replace, wholly or in part, this Program by any other Program, whether similar to this Program or not or to withdraw it altogether.In addition to the above, this offer on the website is also subject to on www.pvrcinemas.com & www.inoxmovies.com and Kotak Bank General Terms of Use. Kindly refer to www.inoxmovies.com Terms & Conditions on the homepage.User shall be required to give personal information and card details online for the tickets purchased on on www.pvrcinemas.com & www.inoxmovies.comIn case of any disputes, PVR INOX Ltd. decision will be final.Kotak Bank offer is valid till 31st August 2024.",PVR Kotak Credit Card
